Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns	turn_list
2	2	8	go mount saint gallen to mount zurich .	505	401	1	A	105, 505	[105, 505]
4	2	6	mount saint gallen to mount zurich	429	401	1	A	105, 429, 468, 505	[105, 429, 468, 505]
2	2	6	from mount luzern to mount davos	398	345	1	B	54, 398	[54, 398]
2	2	6	mount basel to mount zurich .	385	64	1	A	322, 385	[322, 385]
2	2	6	try mount luzern to mount bern	431	390	1	B	42, 431	[42, 431]
7	3	5	mount saint gallen to mount	400	588	1	A	105, 400, 429, 468, 505, 681, 692	[105, 400, 429, 468, 505, 681, 692]
6	6	5	mount neuchatel to mount interlaken	516	294	3	B	288, 333, 429, 516, 542, 581	[288, 333, 429, 516, 542, 581]
5	5	5	mount neuchatel to mount bern	108	147	1	B	78, 108, 192, 209, 224	[78, 108, 192, 209, 224]
4	4	5	mount interlaken to mount bern	539	386	2	B	368, 371, 539, 753	[368, 371, 539, 753]
3	3	5	mount interlaken to mount luzern	556	55	1	B	555, 556, 609	[555, 556, 609]
3	1	5	mount luzern to mount bern	431	390	2	B	42, 429, 431	[42, 429, 431]
3	3	5	to mount basel to mount	110	322	1	A	108, 110, 429	[108, 110, 429]
3	3	5	to mount neuchatel to mount	110	322	1	A	108, 110, 429	[108, 110, 429]
2	2	5	and then mount basel .	124	27	1	B	98, 124	[98, 124]
2	2	5	mount bern to mount zermatt	655	2	1	B	654, 655	[654, 655]
2	2	5	mount luzern to mount zermatt	427	3	1	B	425, 427	[425, 427]
2	2	5	mount montreux to mount neuchatel	295	2	1	B	294, 295	[294, 295]
2	2	5	then to mount montreux .	765	289	1	A	477, 765	[477, 765]
16	4	4	mount neuchatel to mount	317	588	1	B	78, 108, 110, 192, 209, 224, 288, 317, 333, 349, 429, 494, 516, 542, 581, 665	[78, 108, 110, 192, 209, 224, 288, 317, 333, 349, 429, 494, 516, 542, 581, 665]
10	3	4	mount interlaken to mount	539	620	4	B	141, 368, 371, 429, 539, 555, 556, 609, 753, 760	[141, 368, 371, 429, 539, 555, 556, 609, 753, 760]
9	7	4	mount bern to mount	655	594	7	B	68, 78, 110, 425, 429, 458, 654, 655, 661	[68, 78, 110, 425, 429, 458, 654, 655, 661]
7	3	4	to mount zurich .	137	410	2	A	99, 105, 137, 322, 385, 505, 508	[99, 105, 137, 322, 385, 505, 508]
6	4	4	mount montreux to mount	429	467	1	B	294, 295, 429, 468, 489, 760	[294, 295, 429, 468, 489, 760]
5	5	4	to mount luzern .	661	136	2	A	556, 609, 661, 681, 691	[556, 609, 661, 681, 691]
